East,North,Elevation,Var_1,Var_2,Theoretical_rho
   105.849,   159.003,    -0.000,     0.262,     0.193,     0.709
   107.596,   158.942,    -1.748,     0.278,     0.187,     0.706
   109.343,   158.882,    -3.496,     0.280,     0.190,     0.703
   111.090,   158.821,    -5.244,     0.283,     0.187,     0.700
   112.837,   158.761,    -6.992,     0.296,     0.183,     0.697
   114.584,   158.700,    -8.740,     0.329,     0.198,     0.694
   116.331,   158.639,   -10.488,     0.324,     0.191,     0.691
   118.078,   158.579,   -12.236,     0.310,     0.191,     0.687
   119.825,   158.518,   -13.985,     0.320,     0.191,     0.684
   121.572,   158.458,   -15.733,     0.325,     0.181,     0.681
   123.319,   158.397,   -17.481,     0.326,     0.190,     0.678
   125.066,   158.337,   -19.229,     0.303,     0.172,     0.675
   126.813,   158.276,   -20.977,     0.294,     0.167,     0.672
   128.560,   158.216,   -22.725,     0.308,     0.185,     0.669
   130.307,   158.155,   -24.473,     0.313,     0.187,     0.665
   132.054,   158.094,   -26.221,     0.299,     0.183,     0.662
   133.801,   158.034,   -27.969,     0.294,     0.186,     0.659
   135.548,   157.973,   -29.717,     0.295,     0.186,     0.656
   137.295,   157.913,   -31.465,     0.319,     0.187,     0.653
   139.042,   157.852,   -33.213,     0.345,     0.205,     0.650
   140.789,   157.792,   -34.961,     0.347,     0.211,     0.647
   142.536,   157.731,   -36.709,     0.339,     0.196,     0.643
   144.283,   157.671,   -38.457,     0.347,     0.206,     0.640
   146.030,   157.610,   -40.206,     0.349,     0.209,     0.637
   147.777,   157.550,   -41.954,     0.365,     0.207,     0.634
   149.524,   157.489,   -43.702,     0.380,     0.210,     0.631
   151.271,   157.428,   -45.450,     0.374,     0.205,     0.628
   153.019,   157.368,   -47.198,     0.382,     0.212,     0.625
   154.766,   157.307,   -48.946,     0.402,     0.219,     0.621
   156.513,   157.247,   -50.694,     0.401,     0.224,     0.618
   158.260,   157.186,   -52.442,     0.407,     0.251,     0.615
   160.007,   157.126,   -54.190,     0.396,     0.235,     0.612
   161.754,   157.065,   -55.938,     0.379,     0.220,     0.609
   163.501,   157.005,   -57.686,     0.339,     0.201,     0.606
   165.248,   156.944,   -59.434,     0.319,     0.207,     0.603
   166.995,   156.883,   -61.182,     0.321,     0.210,     0.599
   168.742,   156.823,   -62.930,     0.337,     0.212,     0.596
   170.489,   156.762,   -64.678,     0.373,     0.219,     0.593
   172.236,   156.702,   -66.426,     0.380,     0.227,     0.590
   173.983,   156.641,   -68.175,     0.429,     0.252,     0.587
   175.730,   156.581,   -69.923,     0.433,     0.231,     0.584
   177.477,   156.520,   -71.671,     0.479,     0.249,     0.581
   179.224,   156.460,   -73.419,     0.469,     0.244,     0.577
   180.971,   156.399,   -75.167,     0.473,     0.228,     0.574
   182.718,   156.338,   -76.915,     0.493,     0.230,     0.571
   184.465,   156.278,   -78.663,     0.502,     0.237,     0.568
   186.212,   156.217,   -80.411,     0.483,     0.237,     0.565
   187.959,   156.157,   -82.159,     0.457,     0.241,     0.562
   189.706,   156.096,   -83.907,     0.451,     0.229,     0.559
   191.453,   156.036,   -85.655,     0.443,     0.238,     0.555
   193.200,   155.975,   -87.403,     0.449,     0.239,     0.552
   125.555,   158.761,    -0.000,     0.349,     0.189,     0.674
   127.531,   158.525,    -1.990,     0.359,     0.201,     0.670
   129.507,   158.288,    -3.980,     0.351,     0.212,     0.667
   131.483,   158.052,    -5.970,     0.354,     0.220,     0.663
   133.459,   157.816,    -7.960,     0.358,     0.221,     0.660
   135.435,   157.579,    -9.950,     0.358,     0.209,     0.656
   137.411,   157.343,   -11.940,     0.359,     0.198,     0.653
   139.387,   157.107,   -13.930,     0.356,     0.199,     0.649
   141.363,   156.871,   -15.920,     0.376,     0.220,     0.646
   143.338,   156.634,   -17.910,     0.364,     0.203,     0.642
   145.314,   156.398,   -19.900,     0.363,     0.201,     0.638
   147.290,   156.162,   -21.890,     0.361,     0.184,     0.635
   149.266,   155.925,   -23.880,     0.369,     0.191,     0.631
   151.242,   155.689,   -25.870,     0.370,     0.203,     0.628
   153.218,   155.453,   -27.860,     0.371,     0.211,     0.624
   155.194,   155.216,   -29.850,     0.368,     0.210,     0.621
   157.170,   154.980,   -31.840,     0.391,     0.235,     0.617
   159.146,   154.744,   -33.830,     0.380,     0.231,     0.614
   161.122,   154.507,   -35.820,     0.404,     0.237,     0.610
   163.098,   154.271,   -37.810,     0.390,     0.220,     0.606
   165.073,   154.035,   -39.800,     0.387,     0.216,     0.603
   167.049,   153.798,   -41.790,     0.398,     0.244,     0.599
   169.025,   153.562,   -43.780,     0.399,     0.255,     0.596
   171.001,   153.326,   -45.770,     0.386,     0.251,     0.592
   172.977,   153.090,   -47.760,     0.368,     0.238,     0.589
   174.953,   152.853,   -49.750,     0.402,     0.245,     0.585
   176.929,   152.617,   -51.740,     0.424,     0.249,     0.582
   178.905,   152.381,   -53.730,     0.414,     0.239,     0.578
   180.881,   152.144,   -55.720,     0.450,     0.239,     0.574
   182.857,   151.908,   -57.710,     0.465,     0.250,     0.571
   184.833,   151.672,   -59.700,     0.438,     0.236,     0.567
   186.808,   151.435,   -61.690,     0.478,     0.244,     0.564
   188.784,   151.199,   -63.680,     0.456,     0.241,     0.560
   190.760,   150.963,   -65.670,     0.441,     0.235,     0.557
   192.736,   150.726,   -67.660,     0.461,     0.222,     0.553
   194.712,   150.490,   -69.650,     0.458,     0.225,     0.550
   196.688,   150.254,   -71.640,     0.498,     0.255,     0.546
   198.664,   150.018,   -73.630,     0.483,     0.256,     0.542
   200.640,   149.781,   -75.620,     0.503,     0.246,     0.539
   202.616,   149.545,   -77.610,     0.536,     0.245,     0.535
   204.592,   149.309,   -79.600,     0.573,     0.234,     0.532
   206.568,   149.072,   -81.590,     0.616,     0.255,     0.528
   208.543,   148.836,   -83.580,     0.597,     0.248,     0.525
   210.519,   148.600,   -85.570,     0.585,     0.249,     0.521
   212.495,   148.363,   -87.560,     0.555,     0.243,     0.518
